document_id,title,source,source_url,issuing_authority,publication_date,effective_date,retrieval_date,status,file_hash
DOC-001,"Deduction of Tax at Source (Withholding) Regulations, 2024","Official Gazette No. 168, Vol. 111","https://daikot.com.ng/PDF/WHT%20Regulations%202024.pdf","Minister of Finance",2024-10-02,2025-01-01,2026-08-28,"Gazetted",fe3b865fa5c074f5c9d47621fed1de6ebdc1e8ba3422493212a700cbe760ac86
DOC-002,"Nigeria Tax Act, 2025","Official Gazette No. 117, Vol. 112","http://ngfrepository.org.ng:8080/jspui/handle/123456789/6677","National Assembly",2025-06-26,2026-01-01,2026-08-28,"Enacted",41abf6887bc58a3c97116fd9a048aa91ad49c1cab156f39065a58401c0fce94f
DOC-003,"Nigeria Revenue Service (Establishment) Act, 2025","Official Gazette No. 117, Vol. 112","https://airs.an.gov.ng/download/nigeria-revenue-service-establishment-act-2025/","National Assembly",2025-06-26,2025-06-26,2026-08-28,"Enacted",c100f5f10b089ae9a162c0c05fe8ba425b0b79ae936065aa0788893a8ef2b2a8
DOC-004,"Nigeria Tax Administration Act, 2025","Official Gazette No. 117, Vol. 112","https://nass.gov.ng/documents/download/11250","National Assembly",2025-06-26,2025-06-26,2026-08-28,"Enacted",eb3ea717052f48492cc6441ad23f9e7ac2ad4782395db1c391580cc1adef20e2
DOC-005,"Joint Revenue Board of Nigeria (Establishment) Act, 2025","Official Gazette No. 117, Vol. 112","https://ngfrepository.org.ng:8443/handle/123456789/6680","National Assembly",2025-06-26,2025-06-26,2026-08-28,"Enacted",97b648230dee2f6fc1e9f5248343dfb8d6c6d17b4c2d38abe661abee6201e458
DOC-006,"E-Book of Tax and Related Laws","Independent Compilation","Internal FIRS Distribution","Kazeem Kayode Lawal",2021-03-01,2021-01-01,2026-08-28,"Repealed Acts",a18cd2ab4ed8125e6b672836a057c030b068352dbd660b6adb2adde111163f0c
